,Intro,Growth,Mature,Shakeout,Decline
"A: Excess Return, Annualized (%)",2.164811861558502,8.395909182500262,10.05468150564881,9.03617698691086,7.962572794265044
"A: Standard Deviation, Annualized (%)",28.976167607050836,19.064171643184373,14.03721827507637,16.9377901545202,28.02669802082363
A: Sharpe Ratio,0.07471008212389459,0.4404025173316083,0.7162873233581678,0.5334920851230034,0.28410670384177655
"B: Excess Return, Annualized (%)",-0.08553914797830853,9.52525907360673,10.856981316916304,10.268507546662642,6.337764810448898
"B: Standard Deviation, Annualized (%)",28.561111986091014,19.221174530208778,14.539980300267565,17.65093971551415,27.999718203716508
B: Sharpe Ratio,-0.0029949515978217258,0.49556071917647104,0.7466984887673138,0.5817541565584308,0.22635102126162338
