,Intro,Growth,Mature,Shakeout,Decline
const,-0.25444868260068143,0.04857723504329019,0.05492879527544932,-0.08911376984575786,0.10300668612929158
const-t,-1.5870078559864635,0.7479827647433901,1.475503945641009,-0.9324936970383979,0.5864516247187258
const-s,,,,,
Mkt-RF,1.2021346769649384,1.0976386786415022,0.9518280710522208,1.0470798828253083,1.1676598084167098
Mkt-RF-t,30.342113029762597,68.39620862446058,103.46956822894903,44.33990223732024,26.90276617015163
Mkt-RF-s,***,***,***,***,***
SMB,0.6786892608804934,0.11682908736488744,-0.05516271359470828,0.1398684054342849,0.7532566308151192
SMB-t,11.949839979681153,5.078342944559111,-4.183099219447015,4.131739716849757,12.10659416069436
SMB-s,***,***,***,***,***
HML,-0.3416114058366721,-0.1412123437717024,-0.107410040794958,-0.18230740948590754,-0.3524635950113463
HML-t,-4.951655951131894,-5.053248892539794,-6.705395702652696,-4.433478815807177,-4.663589049594377
HML-s,***,***,***,***,***
RMW,-0.6875237686831739,-0.09194383136589838,0.23388827947076826,-0.02430686031095277,-0.7833835377964153
RMW-t,-9.626592302668774,-3.1782451196165917,14.104404441905302,-0.570999787015364,-10.012607955737815
RMW-s,***,***,***,,***
CMA,-0.43804902370058235,-0.2283438534649868,0.15994607549617273,0.4521017440341844,0.2098546232253895
CMA-t,-4.372652825982398,-5.627189433699399,6.876339335775773,7.571478292137276,1.912179818306049
CMA-s,***,***,***,***,*
UMD,-0.06161145944525864,-0.0396943277234288,-0.020833852912182416,0.006579045844515797,-0.07739822079882651
UMD-t,-1.7448170428158032,-2.7752159216688614,-2.5410863494052385,0.3125888837380899,-2.000816609401698
UMD-s,*,***,**,,**
R Squared,0.8708566577408221,0.9510493825194982,0.9703333202693522,0.8657247472462422,0.8343336793262242
Adjusted R Squared,0.8689195076069345,0.9503151232572907,0.9698883200733924,0.8637106184549358,0.8318486845161175
Observations,407.0,407.0,407.0,407.0,407.0
